drug_name_norm	chembl_id	drug_class	drug_class_label	n_sources	sources	max_phase	is_approved	hnscc_indication	cmap_score	n_de_genes	n_up_genes	n_down_genes	de_genes	primary_target	primary_target_centrality	primary_pi	module_id	module_name	tier	is_network_hub	has_credible_target	s_reversal	s_regulatory	s_breadth	TargetPriority	DrugViability	composite_score	final_score
GEFITINIB	CHEMBL939	A	A: Approved + HNSCC evidence	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.70978002463274	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.70978002463274	1	1	0.605422740918836	0.883912009853096	0.71681844849254	0.71681844849254
LAPATINIB	CHEMBL1201179	A	A: Approved + HNSCC evidence	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.590280075783564	2	2	0	EGFR|HLA-A	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.590280075783564	1	1	0.605422740918836	0.836112030313426	0.697698456676672	0.697698456676672
AFATINIB	CHEMBL2105712	A	A: Approved + HNSCC evidence	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.571427008317151	2	2	0	EGFR|EML4	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.571427008317151	1	1	0.605422740918836	0.82857080332686	0.694681965882046	0.694681965882046
ERLOTINIB	CHEMBL553	A	A: Approved + HNSCC evidence	3	DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.658026736631185	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.658026736631185	1	0.75	0.605422740918836	0.813210694652474	0.688537922412291	0.688537922412291
NERATINIB	CHEMBL180022	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.471031209243264	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.471031209243264	0.75	1	0.605422740918836	0.688412483697306	0.638618638030224	0.638618638030224
VANDETANIB	CHEMBL24828	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.476721811731721	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.476721811731721	0.75	0.75	0.605422740918836	0.640688724692688	0.619529134428377	0.619529134428377
DACOMITINIB	CHEMBL2105719	B	B: Approved other cancer	3	ChEMBL|L2S2|OpenTargets	4	TRUE	FALSE	-0.329370075898676	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.329370075898676	0.75	0.75	0.605422740918836	0.58174803035947	0.59595285669509	0.59595285669509
METFORMIN	CHEMBL1431	A	A: Approved + HNSCC evidence	3	DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.436386524303975	20	1	19	EGFR|NDUFA10|NDUFA13|NDUFA2|NDUFA5|NDUFA8|NDUFA9|NDUFB1|NDUFB10|NDUFB11|NDUFB4|NDUFB7|NDUFB9|NDUFS1|NDUFS2|NDUFS3|NDUFS6|NDUFS7|NDUFV1|NDUFV2	NDUFS2	0.660189113952916	0.30856065856969	8	M8_oxidative_phosphorylation	hub_central	TRUE	TRUE	0.436386524303975	1	0.75	0.501956309030465	0.72455460972159	0.590995629306915	0.590995629306915
CETUXIMAB	CHEMBL1201577	A	A: Approved + HNSCC evidence	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	TRUE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	1	0.75	0.605422740918836	0.55	0.583253644551301	0.583253644551301
NIMOTUZUMAB	CHEMBL2108359	A	A: Approved + HNSCC evidence	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	TRUE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	1	0.75	0.605422740918836	0.55	0.583253644551301	0.583253644551301
